,0
NDVI_V10,0.3209036456342814
NDVI_V6,0.3661331461891612
NDVI_V7,0.3661331461891612
NDVI_V8,0.335388401116154
NDVI_V9,0.3209036456342814
GNDVI_V10,0.3102479524559782
GNDVI_V6,0.35203919663745836
GNDVI_V7,0.35203919663745836
GNDVI_V8,0.3289354044501869
GNDVI_V9,0.3102479524559782
NDRE_V10,0.2511088052018073
NDRE_V6,0.2909104011484551
NDRE_V7,0.2909104011484551
NDRE_V8,0.2653804758340261
NDRE_V9,0.2511088052018073
EVI2_V10,0.18602379179390321
EVI2_V6,0.22119749609960546
EVI2_V7,0.22119749609960546
EVI2_V8,0.20421668737135634
EVI2_V9,0.18602379179390321
CIrededge_V10,0.8691318430495615
CIrededge_V6,1.065374686011979
CIrededge_V7,1.065374686011979
CIrededge_V8,0.9243131637804549
CIrededge_V9,0.8691318430495615
NIRv_V10,0.08100005010972439
NIRv_V6,0.0990855974897165
NIRv_V7,0.0990855974897165
NIRv_V8,0.09026558209331713
NIRv_V9,0.08100005010972439
SAVI_V10,0.1944506060753232
SAVI_V6,0.2290234207966314
SAVI_V7,0.2290234207966314
SAVI_V8,0.21253879948538362
SAVI_V9,0.1944506060753232
OSAVI_V10,0.21657682828030808
OSAVI_V6,0.25245203713625314
OSAVI_V7,0.25245203713625314
OSAVI_V8,0.23278961107956772
OSAVI_V9,0.21657682828030808
TGI_V10,-0.005731421568050065
TGI_V6,-0.004800430000725388
TGI_V7,-0.004800430000725388
TGI_V8,-0.005122065968564524
TGI_V9,-0.005731421568050065
MCARI_V10,0.017906229300863507
MCARI_V6,0.020702984393744003
MCARI_V7,0.020702984393744003
MCARI_V8,0.019170940739446682
MCARI_V9,0.017906229300863507
OCARI_V10,0.01036453090998759
OCARI_V6,0.011341296075255575
OCARI_V7,0.011341296075255575
OCARI_V8,0.011229397480293493
OCARI_V9,0.01036453090998759
blue_B02_V10,0.15075047832273053
blue_B02_V6,0.1487778020082022
blue_B02_V7,0.1487778020082022
blue_B02_V8,0.15433780819581386
blue_B02_V9,0.15075047832273053
green_B03_V10,0.14011769302410784
green_B03_V6,0.13892492079467403
green_B03_V7,0.13892492079467403
green_B03_V8,0.1449144894039685
green_B03_V9,0.14011769302410784
red_B04_V10,0.13818287901357
red_B04_V6,0.13582279889845147
red_B04_V7,0.13582279889845147
red_B04_V8,0.14330895480278613
red_B04_V9,0.13818287901357
rededge_B05_V10,0.15467123278812372
rededge_B05_V6,0.15414816206958665
rededge_B05_V7,0.15414816206958665
rededge_B05_V8,0.16119890030256862
rededge_B05_V9,0.15467123278812372
nir_B08_V10,0.25041922613014617
nir_B08_V6,0.2686794151507551
nir_B08_V7,0.2686794151507551
nir_B08_V8,0.2679628505784422
nir_B08_V9,0.25041922613014617
